,Keywords,Occurences
199, *Hillary private e-mails*,209
528, 23-15,417
688, American,436
2175, NEW,314
2509, RT,7853
2610, RT American,230
2885, RT Russian,972
3211, RT contact w/Russian full,548
3446, RT fm direct full Constitutional,391
3449, RT foreign best best,203
3601, RT important non-scandalous Trump-Russia,285
4178, RT spontaneous pre-manufactured,242
4381, RT w/Russian,378
4628, Russian,6832
4646, Russian NEW,275
4739, Russian legitimate,272
6377, bad,309
6675, big,294
6754, bigger,308
7220, clear,398
7254, clear last conservative,377
7263, clear possible,256
7540, constant Russian multiple,361
7553, constant multiple,613
7890, dangerous,253
8691, entire,333
8972, fake,295
9231, first,655
9417, foreign,280
9451, foreign rightful,454
9568, frequent Russian,225
9642, full,434
9646, full Russian,210
9866, good,393
9917, good first official,424
10024, great,259
10525, hostile foreign top,314
10671, illegal,227
10939, independent,3796
11318, key,341
11409, last,443
12255, many,230
12647, much,261
12862, national,246
12999, new,880
13154, next,345
13647, open,352
14014, political,408
14124, possible,270
14627, real,434
15088, rightful scribble,274
15389, secure,227
15427, senior Russian,386
15990, staggering,200
16047, straight,290
16750, touch,256
16872, true,209
18109, whole whole,249
18329, wrong,277
