,Sentiment,Counts
22,-4.0,16
23,-3.95,5
24,-3.9,8
25,-3.85,53
26,-3.8,8
27,-3.75,5
28,-3.7,67
29,-3.65,24
30,-3.6,48
31,-3.55,4
32,-3.5,484
33,-3.45,43
34,-3.4,5
35,-3.35,59
36,-3.3,18
37,-3.25,38
38,-3.2,24
39,-3.15,27
40,-3.1,308
41,-3.05,62
42,-3.0,61
43,-2.95,90
44,-2.9,49
45,-2.85,350
46,-2.8,35
47,-2.75,89
48,-2.7,83
49,-2.65,57
50,-2.6,511
51,-2.55,73
52,-2.5,407
53,-2.45,81
54,-2.4,67
55,-2.35,1145
56,-2.3,82
57,-2.25,401
58,-2.2,257
59,-2.15,235
60,-2.1,821
61,-2.05,131
62,-2.0,531
63,-1.95,185
64,-1.9,262
65,-1.85,1277
66,-1.8,436
67,-1.75,773
68,-1.7,707
69,-1.65,288
70,-1.6,2133
71,-1.55,136
72,-1.5,1198
73,-1.45,548
74,-1.4,409
75,-1.35,2294
76,-1.3,397
77,-1.25,1220
78,-1.2,1589
79,-1.15,748
80,-1.1,8828
81,-1.05,665
82,-1.0,1950
83,-0.95,649
84,-0.9,1226
85,-0.85,7641
86,-0.8,631
87,-0.75,2276
88,-0.7,2450
89,-0.65,336
90,-0.6,8619
91,-0.55,690
92,-0.5,4730
93,-0.45,1541
94,-0.4,773
95,-0.35,4546
96,-0.3,1076
97,-0.25,2074
98,-0.2,2020
99,-0.15,607
100,-0.1,21756
101,-0.0500000000000001,78
102,-0.05,1117
103,-0.0499999999999999,49
104,-5.55111512312578e-17,10
105,-2.77555756156289e-17,960
106,0.0,12967
107,2.77555756156289e-17,13
108,5.55111512312578e-17,1
109,8.32667268468867e-17,16
110,1.11022302462516e-16,1
111,0.0499999999999999,14
112,0.05,1309
113,0.1,904
114,0.15,3950
115,0.2,1224
116,0.25,1352
117,0.3,4120
118,0.35,443
119,0.4,6597
120,0.45,666
121,0.5,4166
122,0.55,756
123,0.6,955
124,0.65,3102
125,0.7,3006
126,0.75,895
127,0.8,1531
128,0.85,277
129,0.9,3766
130,0.95,626
131,1.0,1148
132,1.05,403
133,1.1,629
134,1.15,789
135,1.2,697
136,1.25,486
137,1.3,532
138,1.35,142
139,1.4,610
140,1.45,291
141,1.5,665
142,1.55,237
143,1.6,175
144,1.65,269
145,1.7,491
146,1.75,186
147,1.8,158
148,1.85,68
149,1.9,279
150,1.95,73
151,2.0,284
152,2.05,52
153,2.1,236
154,2.15,78
155,2.2,103
156,2.25,72
157,2.3,72
158,2.35,45
159,2.4,79
160,2.45,22
161,2.5,69
162,2.55,27
163,2.6,64
164,2.65,13
165,2.7,12
166,2.75,16
167,2.8,12
168,2.85,12
169,2.9,15
170,2.95,9
171,3.0,2
172,3.05,34
173,3.1,2
174,3.15,1
175,3.2,8
176,3.25,3
177,3.3,3
178,3.35,1
179,3.4,10
180,3.45,2
181,3.5,1
182,3.65,1
183,3.7,3
184,3.75,2
185,3.8,343
186,3.85,2
