,Keywords,Occurences
329, .POTUS,303
743, American,292
837, Anti-Trump,273
939, Big,274
1265, Donald,216
1587, Good,230
2197, More,386
2477, Ordinary inhumane,238
2652, RT,9521
2763, RT American many,292
2802, RT Canadian dead,312
3514, RT extraordinary little,400
4472, RT wealthiest powerful,515
4679, Republican wrong,757
5170, Top,233
6028, anti-Trump,305
6292, bad,223
6556, big,265
6712, black,216
6838, brilliant,229
7445, crazy,452
7909, dishonest,224
8517, f,1890
8578, fake,305
8655, false,361
8789, federal,312
8938, first,422
9521, good,393
9669, great,275
10046, highest,234
10901, last,213
11158, legal,472
11390, little,238
12108, much,219
12451, new,341
12631, next,246
13770, proud,326
13800, public,339
13975, ready,299
13991, real,400
14328, right,228
15735, terrorist,729
16112, true,288
16311, u,234
16562, undocumented,505
17212, white,567
