,Keywords,Occurences
423, Alec Baldwin Trump,245
8921, RT,1102
9085, RT AGOWA Trump Administration immediate administrative DENIED,334
9152, RT AP Trump,456
9448, RT AltStateDpt Melania Trump Trump Tower 4yr populist Trump,203
11435, RT DLin71 America imperfect,512
11494, RT DabAggin Trump sure *you're* constitutional,230
12013, RT Donald Trump,265
13268, RT GeorgeTakei Putin adorable Trump America true,239
14760, RT JohnTDolan GREAT Gaga Anti Trump Boooos ReT,209
15051, RT KRISTEN MOCKED DONALD TRUMP AND CAME OUT AS GAY IN SNL MONOLOGUE WHEN WILL YOUR FAVE,1231
15366, RT Kristen Stewart Donald Trump,1052
15376, RT Kristen Stewart SNL President Trump,263
16443, RT Melania Trump New York City,219
16542, RT MichaelSkolnik,217
16726, RT Monthly,637
16990, RT NPR Trump Trump,282
17077, RT NastyWoman20 BILLION,228
18326, RT PrisonPlanet Twitter Trump final,237
19951, RT StephensWSJ US moral Putin Russia President,324
20952, RT Too many Americans fought American President Trump authoritarian,257
21020, RT Trump,1036
21299, RT Trump Kristen Stewart,331
21620, RT Trump Wall Street Americans Wall Streets,354
21923, RT Trump taxpayer-funded,245
23720, RT many Trump Russia silent Fox Dem,208
23852, RT one-man Trump,326
24106, RT terrorist explicit,235
26196, Trump,735
28922, US Trump,210
