,Sentiment,Counts
0,-5.75,1
1,-5.1,1
2,-4.85,1
3,-4.8,1
4,-4.7,1
5,-4.65,1
6,-4.55,1
7,-4.5,3
8,-4.45,4
9,-4.4,2
10,-4.35,6
11,-4.3,2
12,-4.25,2
13,-4.2,8
14,-4.15,3
15,-4.1,8
16,-4.05,22
17,-4.0,4
18,-3.95,5
19,-3.9,8
20,-3.85,25
21,-3.8,19
22,-3.75,17
23,-3.7,7
24,-3.65,3
25,-3.6,38
26,-3.55,6
27,-3.5,20
28,-3.45,12
29,-3.4,109
30,-3.35,71
31,-3.3,11
32,-3.25,26
33,-3.2,8
34,-3.15,14
35,-3.1,370
36,-3.05,11
37,-3.0,38
38,-2.95,49
39,-2.9,74
40,-2.85,123
41,-2.8,35
42,-2.75,93
43,-2.7,1425
44,-2.65,43
45,-2.6,293
46,-2.55,59
47,-2.5,181
48,-2.45,117
49,-2.4,97
50,-2.35,539
51,-2.3,112
52,-2.25,371
53,-2.2,242
54,-2.15,872
55,-2.1,781
56,-2.05,195
57,-2.0,348
58,-1.95,440
59,-1.9,429
60,-1.85,1571
61,-1.8,103
62,-1.75,641
63,-1.7,557
64,-1.65,228
65,-1.6,2346
66,-1.55,187
67,-1.5,1166
68,-1.45,625
69,-1.4,381
70,-1.35,2381
71,-1.3,414
72,-1.25,1446
73,-1.2,819
74,-1.15,410
75,-1.1,5947
76,-1.05,276
77,-1.0,2406
78,-0.95,762
79,-0.9,1547
80,-0.85,6497
81,-0.8,719
82,-0.75,2486
83,-0.7,3096
84,-0.65,512
85,-0.6,12075
86,-0.55,336
87,-0.5,4072
88,-0.45,946
89,-0.4,544
90,-0.35,5498
91,-0.3,1023
92,-0.25,2603
93,-0.2,1903
94,-0.15,478
95,-0.1,24630
96,-0.0999999999999999,2
97,-0.0500000000000001,32
98,-0.05,1160
99,-0.0499999999999999,19
100,-5.55111512312578e-17,1
101,-2.77555756156289e-17,844
102,0.0,9467
103,2.77555756156289e-17,3
104,8.32667268468867e-17,7
105,0.0499999999999999,3
106,0.05,901
107,0.1,1790
108,0.15,4391
109,0.2,1409
110,0.25,1673
111,0.3,2519
112,0.35,488
113,0.4,6691
114,0.45,710
115,0.5,4584
116,0.55,1088
117,0.6,1245
118,0.65,2997
119,0.7,4077
120,0.75,999
121,0.8,1803
122,0.85,234
123,0.9,2299
124,0.95,505
125,1.0,1552
126,1.05,619
127,1.1,597
128,1.15,892
129,1.2,1337
130,1.25,489
131,1.3,576
132,1.35,155
133,1.4,924
134,1.45,449
135,1.5,411
136,1.55,278
137,1.6,128
138,1.65,581
139,1.7,263
140,1.75,118
141,1.8,151
142,1.85,61
143,1.9,217
144,1.95,235
145,2.0,252
146,2.05,113
147,2.1,63
148,2.15,99
149,2.2,61
150,2.25,72
151,2.3,31
152,2.35,70
153,2.4,65
154,2.45,14
155,2.5,64
156,2.55,49
157,2.6,45
158,2.65,6
159,2.7,14
160,2.75,22
161,2.8,12
162,2.85,5
163,2.9,11
164,2.95,10
165,3.0,5
166,3.05,12
167,3.1,1
168,3.15,3
169,3.2,1
170,3.25,4
171,3.3,2
172,3.35,2
173,3.4,6
174,3.45,1
175,3.5,1
176,3.55,2
177,3.6,2
178,3.65,3
179,3.7,1
180,3.75,1
181,3.8,4
182,3.9,1
183,4.1,2
184,4.15,1
185,5.85,1
