,Sentiment,Counts
0,-5.45,7
1,-5.1,1
2,-5.05,1
3,-4.65,3
4,-4.6,1
5,-4.5,3
6,-4.45,15
7,-4.4,6
8,-4.35,6
9,-4.25,3
10,-4.2,2
11,-4.15,1
12,-4.1,4
13,-4.05,1
14,-4.0,2
15,-3.95,2
16,-3.9,3
17,-3.85,42
18,-3.75,4
19,-3.7,3
20,-3.65,8
21,-3.6,11
22,-3.5,39
23,-3.45,9
24,-3.4,8
25,-3.35,65
26,-3.3,5
27,-3.25,8
28,-3.2,6
29,-3.15,20
30,-3.1,37
31,-3.05,7
32,-3.0,20
33,-2.95,200
34,-2.9,38
35,-2.85,67
36,-2.8,8
37,-2.75,40
38,-2.7,59
39,-2.65,23
40,-2.6,168
41,-2.55,97
42,-2.5,157
43,-2.45,78
44,-2.4,24
45,-2.35,253
46,-2.3,35
47,-2.25,110
48,-2.2,83
49,-2.15,137
50,-2.1,330
51,-2.05,59
52,-2.0,128
53,-1.95,79
54,-1.9,91
55,-1.85,574
56,-1.8,80
57,-1.75,194
58,-1.7,208
59,-1.65,194
60,-1.6,811
61,-1.55,79
62,-1.5,508
63,-1.45,325
64,-1.4,283
65,-1.35,1128
66,-1.3,183
67,-1.25,678
68,-1.2,507
69,-1.15,161
70,-1.1,1976
71,-1.05,164
72,-1.0,820
73,-0.95,424
74,-0.9,549
75,-0.85,2610
76,-0.8,342
77,-0.75,845
78,-0.7,1312
79,-0.65,170
80,-0.6,3841
81,-0.55,387
82,-0.5,1786
83,-0.45,709
84,-0.4,408
85,-0.35,2406
86,-0.3,867
87,-0.25,699
88,-0.2,963
89,-0.15,423
90,-0.1,9449
91,-0.0500000000000001,4
92,-0.05,456
93,-0.0499999999999999,8
94,-2.77555756156289e-17,488
95,0.0,3102
96,2.77555756156289e-17,1
97,5.55111512312578e-17,1
98,8.32667268468867e-17,7
99,0.0499999999999999,46
100,0.05,698
101,0.1,411
102,0.15,1832
103,0.2,386
104,0.25,896
105,0.3,1856
106,0.35,190
107,0.4,3816
108,0.45,373
109,0.5,1514
110,0.55,410
111,0.6,322
112,0.65,1575
113,0.7,1062
114,0.75,486
115,0.8,569
116,0.85,121
117,0.9,1436
118,0.95,179
119,1.0,657
120,1.05,215
121,1.1,309
122,1.15,744
123,1.2,246
124,1.25,545
125,1.3,219
126,1.35,74
127,1.4,304
128,1.45,275
129,1.5,211
130,1.55,101
131,1.6,299
132,1.65,141
133,1.7,128
134,1.75,73
135,1.8,69
136,1.85,25
137,1.9,58
138,1.95,70
139,2.0,63
140,2.05,26
141,2.1,37
142,2.15,179
143,2.2,24
144,2.25,27
145,2.3,61
146,2.35,3
147,2.4,97
148,2.45,11
149,2.5,20
150,2.55,14
151,2.6,1
152,2.65,3
153,2.7,23
154,2.75,8
155,2.8,3
156,2.85,1
157,2.9,7
158,2.95,2
159,3.0,1
160,3.05,4
161,3.1,1
162,3.2,2
163,3.25,3
164,3.3,9
165,3.5,31
166,3.6,1
167,3.75,1
