,Sentiment,Counts
0,-6.45,1
1,-5.25,1
2,-5.1,3
3,-4.9,66
4,-4.8,1
5,-4.7,2
6,-4.6,1
7,-4.5,1
8,-4.45,8
9,-4.4,10
10,-4.35,7
11,-4.25,1
12,-4.2,4
13,-4.15,2
14,-4.1,13
15,-4.0,10
16,-3.95,6
17,-3.9,11
18,-3.85,19
19,-3.8,13
20,-3.75,10
21,-3.7,42
22,-3.65,8
23,-3.6,26
24,-3.55,2
25,-3.5,37
26,-3.45,49
27,-3.4,5
28,-3.35,73
29,-3.3,7
30,-3.25,22
31,-3.2,22
32,-3.15,14
33,-3.1,106
34,-3.05,15
35,-3.0,182
36,-2.95,71
37,-2.9,16
38,-2.85,143
39,-2.8,35
40,-2.75,86
41,-2.7,50
42,-2.65,60
43,-2.6,416
44,-2.55,34
45,-2.5,539
46,-2.45,170
47,-2.4,77
48,-2.35,499
49,-2.3,53
50,-2.25,446
51,-2.2,330
52,-2.15,122
53,-2.1,932
54,-2.05,144
55,-2.0,473
56,-1.95,324
57,-1.9,286
58,-1.85,1488
59,-1.8,1078
60,-1.75,742
61,-1.7,656
62,-1.65,356
63,-1.6,2044
64,-1.55,237
65,-1.5,2098
66,-1.45,652
67,-1.4,507
68,-1.35,3199
69,-1.3,471
70,-1.25,1596
71,-1.2,1248
72,-1.15,1886
73,-1.1,7082
74,-1.05,353
75,-1.0,2090
76,-0.95,908
77,-0.9,1634
78,-0.85,7214
79,-0.8,718
80,-0.75,2155
81,-0.7,2213
82,-0.65,478
83,-0.6,11366
84,-0.55,723
85,-0.5,5103
86,-0.45,1903
87,-0.4,847
88,-0.35,4385
89,-0.3,754
90,-0.25,2199
91,-0.2,1776
92,-0.15,610
93,-0.1,26429
94,-0.0999999999999999,1
95,-0.0500000000000001,208
96,-0.05,988
97,-0.0499999999999999,16
98,-5.55111512312578e-17,2
99,-2.77555756156289e-17,748
100,0.0,9457
101,2.77555756156289e-17,24
102,8.32667268468867e-17,21
103,0.0499999999999999,14
104,0.05,1103
105,0.1,1497
106,0.15,4674
107,0.2,1368
108,0.25,1642
109,0.3,3159
110,0.35,897
111,0.4,8048
112,0.45,546
113,0.5,4167
114,0.55,1070
115,0.6,1221
116,0.65,3017
117,0.7,3500
118,0.75,1262
119,0.8,1469
120,0.85,471
121,0.9,3135
122,0.95,653
123,1.0,1736
124,1.05,399
125,1.1,664
126,1.15,1050
127,1.2,807
128,1.25,454
129,1.3,595
130,1.35,147
131,1.4,1043
132,1.45,312
133,1.5,531
134,1.55,265
135,1.6,323
136,1.65,234
137,1.7,273
138,1.75,163
139,1.8,225
140,1.85,67
141,1.9,292
142,1.95,59
143,2.0,88
144,2.05,148
145,2.1,84
146,2.15,44
147,2.2,92
148,2.25,175
149,2.3,59
150,2.35,30
151,2.4,48
152,2.45,17
153,2.5,45
154,2.55,28
155,2.6,39
156,2.65,25
157,2.7,19
158,2.75,16
159,2.8,16
160,2.85,6
161,2.9,11
162,2.95,3
163,3.0,4
164,3.05,6
165,3.1,8
166,3.15,2
167,3.2,5
168,3.25,1
169,3.3,4
170,3.35,2
171,3.4,7
172,3.45,5
173,3.5,3
174,3.6,1
175,3.65,1
176,3.7,1
177,3.75,2
178,3.8,129
179,3.9,3
180,3.95,1
181,4.2,1
182,4.25,1
