,Sentiment,Counts
22,-4.0,3
23,-3.95,7
24,-3.9,10
25,-3.85,12
26,-3.8,1
27,-3.75,12
28,-3.7,9
29,-3.65,19
30,-3.6,65
31,-3.55,3
32,-3.5,50
33,-3.45,16
34,-3.4,16
35,-3.35,109
36,-3.3,8
37,-3.25,33
38,-3.2,34
39,-3.15,43
40,-3.1,117
41,-3.05,16
42,-3.0,47
43,-2.95,24
44,-2.9,31
45,-2.85,233
46,-2.8,46
47,-2.75,146
48,-2.7,111
49,-2.65,74
50,-2.6,306
51,-2.55,225
52,-2.5,250
53,-2.45,259
54,-2.4,110
55,-2.35,867
56,-2.3,160
57,-2.25,306
58,-2.2,226
59,-2.15,235
60,-2.1,734
61,-2.05,80
62,-2.0,326
63,-1.95,432
64,-1.9,464
65,-1.85,1361
66,-1.8,181
67,-1.75,437
68,-1.7,608
69,-1.65,315
70,-1.6,2521
71,-1.55,266
72,-1.5,1218
73,-1.45,650
74,-1.4,693
75,-1.35,2676
76,-1.3,481
77,-1.25,1902
78,-1.2,1502
79,-1.15,445
80,-1.1,5614
81,-1.05,782
82,-1.0,1827
83,-0.95,868
84,-0.9,1562
85,-0.85,7874
86,-0.8,1076
87,-0.75,2407
88,-0.7,4313
89,-0.65,500
90,-0.6,9263
91,-0.55,1002
92,-0.5,4635
93,-0.45,1588
94,-0.4,1322
95,-0.35,6305
96,-0.3,2057
97,-0.25,3208
98,-0.2,3105
99,-0.15,713
100,-0.1,25929
101,-0.0999999999999999,2
102,-0.0500000000000001,9
103,-0.05,903
104,-0.0499999999999999,75
105,-2.77555756156289e-17,1269
106,0.0,7393
107,2.77555756156289e-17,2
108,8.32667268468867e-17,29
109,0.0499999999999999,12
110,0.05,1341
111,0.1,802
112,0.15,4282
113,0.2,2397
114,0.25,1897
115,0.3,4950
116,0.35,515
117,0.4,12630
118,0.45,913
119,0.5,3927
120,0.55,1048
121,0.6,1220
122,0.65,4497
123,0.7,3259
124,0.75,1455
125,0.8,4200
126,0.85,316
127,0.9,3286
128,0.95,653
129,1.0,1428
130,1.05,411
131,1.1,686
132,1.15,1374
133,1.2,902
134,1.25,793
135,1.3,836
136,1.35,563
137,1.4,983
138,1.45,240
139,1.5,748
140,1.55,265
141,1.6,218
142,1.65,527
143,1.7,382
144,1.75,251
145,1.8,177
146,1.85,69
147,1.9,257
148,1.95,157
149,2.0,144
150,2.05,41
151,2.1,59
152,2.15,176
153,2.2,51
154,2.25,123
155,2.3,49
156,2.35,41
157,2.4,79
158,2.45,42
159,2.5,106
160,2.55,25
161,2.6,25
162,2.65,14
163,2.7,64
164,2.75,21
165,2.8,8
166,2.85,8
167,2.9,17
168,2.95,11
169,3.0,5
170,3.05,7
171,3.1,2
172,3.2,4
173,3.25,5
174,3.3,30
175,3.35,1
176,3.4,4
177,3.45,4
178,3.5,11
179,3.55,4
180,3.75,1
181,3.8,1
182,3.9,1
