,Keywords,Occurences
643, American,568
1480, Good,283
1545, Gorsuch,519
2134, More,392
2575, RT,7869
2666, RT American,233
2898, RT More,231
3254, RT comforting A-OKKK,217
5053, US Muslim-majority,252
5948, bad,257
6042, bananas long,226
6168, better,323
6736, clear,519
6800, club,2462
7297, dark wild,436
8391, federal,334
8508, first,464
8870, full,234
9093, good,391
9262, great,309
9578, hes,271
9605, high nigga <,401
10432, last,203
10666, legal,278
11020, longest,257
11163, major,255
11454, military,631
11856, new,627
11997, new presidential ethical truthful baby-skinned,342
12260, nuclear,220
12374, official,955
13495, real,479
14562, soft,364
15579, truthful,675
15739, unacceptable,227
16482, white,245
17002, so,982
