,Keywords,Occurences
589, <,224
709, American,366
1136, Dear,236
1372, Federal,358
1581, HUGE,303
1772, Japanese,610
2118, More,287
2500, Preliminary,333
2579, RT,8014
2674, RT American,397
2820, RT Indonesian busy,378
2912, RT Muslim,202
2993, RT Russian,340
3307, RT contradictory,308
3797, RT live,231
3836, RT many last hell,443
4127, RT rowdy ex-teacher,453
4254, RT this.-,317
4595, Russian,596
5033, Top,302
5082, True,204
5236, US Muslim-majority,763
5552, able judicial,202
5929, anti-Trump,211
6183, bad,243
6462, big,287
6993, clear uncharted,257
7022, club,215
8582, federal,381
8703, first,544
8866, foreign,428
9039, full,229
9309, good,501
9489, great,466
9739, harder,443
10130, illegal,378
10876, learning,222
10894, least extra due,210
11316, loofa-faced,255
11451, major,868
12162, new,817
12374, next,374
12601, nuclear,273
12696, occasional,284
12760, old,224
13790, real,340
14093, rid unfollow,230
14271, safe,203
15275, sweeping,338
15682, travel,285
16389, upholds,231
16580, w,337
17021, wrong,214
17286, so,1378
