,Sentiment,Counts
0,-6.25,1
1,-4.85,89
2,-4.6,1
3,-4.5,2
4,-4.4,1
5,-4.35,5
6,-4.2,1
7,-4.15,1
8,-4.1,9
9,-4.05,1
10,-4.0,6
11,-3.95,1
12,-3.85,24
13,-3.8,2
14,-3.75,56
15,-3.7,16
16,-3.65,65
17,-3.6,9
18,-3.55,1
19,-3.5,39
20,-3.45,39
21,-3.4,15
22,-3.35,385
23,-3.3,4
24,-3.25,50
25,-3.2,17
26,-3.15,19
27,-3.1,145
28,-3.05,5
29,-3.0,28
30,-2.95,40
31,-2.9,69
32,-2.85,104
33,-2.8,24
34,-2.75,199
35,-2.7,226
36,-2.65,92
37,-2.6,328
38,-2.55,95
39,-2.5,90
40,-2.45,81
41,-2.4,102
42,-2.35,622
43,-2.3,283
44,-2.25,103
45,-2.2,371
46,-2.15,149
47,-2.1,529
48,-2.05,78
49,-2.0,248
50,-1.95,122
51,-1.9,243
52,-1.85,1056
53,-1.8,246
54,-1.75,456
55,-1.7,337
56,-1.65,380
57,-1.6,2546
58,-1.55,124
59,-1.5,679
60,-1.45,291
61,-1.4,497
62,-1.35,1654
63,-1.3,351
64,-1.25,1168
65,-1.2,717
66,-1.15,413
67,-1.1,3087
68,-1.05,189
69,-1.0,1866
70,-0.95,659
71,-0.9,2027
72,-0.85,4892
73,-0.8,500
74,-0.75,1572
75,-0.7,1515
76,-0.65,456
77,-0.6,6958
78,-0.55,235
79,-0.5,2978
80,-0.45,585
81,-0.4,489
82,-0.35,2775
83,-0.3,971
84,-0.25,1273
85,-0.2,894
86,-0.15,531
87,-0.1,12020
88,-0.0500000000000001,34
89,-0.05,682
90,-0.0499999999999999,7
91,-5.55111512312578e-17,4
92,-2.77555756156289e-17,631
93,0.0,4105
94,2.77555756156289e-17,5
95,8.32667268468867e-17,59
96,0.0499999999999999,1
97,0.05,450
98,0.0500000000000001,1
99,0.1,810
100,0.15,1839
101,0.2,835
102,0.25,747
103,0.3,2021
104,0.35,193
105,0.4,3695
106,0.45,327
107,0.5,3030
108,0.55,416
109,0.6,443
110,0.65,1766
111,0.7,2404
112,0.75,665
113,0.8,1065
114,0.85,337
115,0.9,1672
116,0.95,219
117,1.0,589
118,1.05,350
119,1.1,404
120,1.15,614
121,1.2,622
122,1.25,603
123,1.3,358
124,1.35,168
125,1.4,559
126,1.45,199
127,1.5,256
128,1.55,157
129,1.6,129
130,1.65,163
131,1.7,218
132,1.75,121
133,1.8,204
134,1.85,43
135,1.9,323
136,1.95,62
137,2.0,55
138,2.05,69
139,2.1,45
140,2.15,54
141,2.2,49
142,2.25,49
143,2.3,26
144,2.35,9
145,2.4,31
146,2.45,7
147,2.5,26
148,2.55,8
149,2.6,62
150,2.65,45
151,2.7,12
152,2.75,4
153,2.8,5
154,2.85,4
155,2.9,6
156,2.95,3
157,3.0,7
158,3.1,9
159,3.15,5
160,3.2,25
161,3.25,3
162,3.3,1
163,3.4,4
164,3.45,2
165,3.5,1
166,3.6,2
167,3.65,1
168,3.7,1
169,4.0,2
170,4.05,1
171,4.15,1
172,4.2,1
173,4.25,1
174,4.85,1
175,5.35,1
