,Keywords,Occurences
4942, Donald Trump,227
15944, RT,3558
18456, RT BraddJaffy Trump POTUS Japanese PM,231
18457, RT BraddJaffy Trump Stephen Miller Trump false illegal,237
21116, RT Donald Trump,508
21278, RT Donald Trump Well Wall Street,395
21293, RT Donald Trump authoritarian,666
21376, RT Donald Trump terrifying fascist,254
23089, RT GeorgeTakei Overheard new SCROTUS So-Called Ruler United States,423
23090, RT GeorgeTakei President Trump Miller Travel Ban,208
23335, RT GovHowardDean Trumps shorter early,291
24152, RT IMPL0RABLE SNL,234
24345, RT Impeach_D_Trump President Trump Nordstrom North Korea ballistic,238
25687, RT JuddLegum Obama,321
27103, RT LouDobbs America Beware Obama Trump,240
27493, RT Make Go Viral,318
30460, RT PeterSweden7 Sweden feminist Trump Iran,498
30755, RT President Bush pathological conservative Trump,1294
32632, RT San Franciscans RESIST Ocean Beach Donald Trump JayHainesSF,219
32686, RT SarahMaslinNir Trump Trump Towers America,202
32793, RT Scott_Gilmore iconic Trump Canadian Mounties freezing refugee,281
32925, RT Senior NSA Trump due White House Kremlin,210
33167, RT SimonWDC Mar-A-Largo foreign,430
33171, RT SimonWDC Trump private Florida,252
34074, RT TRUMP TWITTER RALLY,209
35020, RT Took George W Bush,202
35137, RT Trump,1170
35559, RT Trump Ivanka North Korea ballistic,334
36483, RT Trump total Wall Street Goldman Sachs,404
38861, RT free Trump new Hitler,348
39462, RT positive President Trump negative,279
43599, Trump,1176
49440, YouTube,250
52574, sick Wrong TRUMP,268
