,Keywords,Occurences
6290, RT,1287
7400, RT BraddJaffy NYT Trump Clinton,448
9155, RT FBI Trump,297
9657, RT GeorgeTakei Comey possible third laptop actual Trump Russians,252
10987, RT JuddLegum IN A COMPLETE COINCIDENCE China Trump,225
11119, RT KamalaHarris Americans independent Russias Trump,342
11156, RT KattyKayBBC clear last Trump conservative,383
14477, RT SenBookerOffice Americans full Russian Trump Administration,319
15202, RT TheDailyShow Trumps Tweets rightful scribble,335
15576, RT Trump,381
15739, RT Trump Handshake,595
19508, Trump,457
