,Sentiment,Counts
0,-5.8,1
1,-5.45,9
2,-5.35,1
3,-5.1,4
4,-4.95,5
5,-4.9,2
6,-4.85,1
7,-4.8,1
8,-4.65,3
9,-4.6,4
10,-4.5,1
11,-4.45,2
12,-4.25,4
13,-4.2,5
14,-4.15,2
15,-4.1,6
16,-4.05,8
17,-4.0,1
18,-3.95,5
19,-3.9,5
20,-3.85,20
21,-3.8,6
22,-3.75,4
23,-3.7,4
24,-3.65,10
25,-3.6,26
26,-3.55,3
27,-3.5,13
28,-3.45,21
29,-3.4,39
30,-3.35,74
31,-3.3,10
32,-3.25,36
33,-3.2,20
34,-3.15,113
35,-3.1,293
36,-3.05,9
37,-3.0,39
38,-2.95,38
39,-2.9,29
40,-2.85,123
41,-2.8,14
42,-2.75,73
43,-2.7,1429
44,-2.65,49
45,-2.6,319
46,-2.55,73
47,-2.5,121
48,-2.45,223
49,-2.4,64
50,-2.35,485
51,-2.3,40
52,-2.25,160
53,-2.2,170
54,-2.15,502
55,-2.1,760
56,-2.05,190
57,-2.0,677
58,-1.95,298
59,-1.9,250
60,-1.85,1148
61,-1.8,99
62,-1.75,615
63,-1.7,508
64,-1.65,294
65,-1.6,2609
66,-1.55,217
67,-1.5,1011
68,-1.45,685
69,-1.4,659
70,-1.35,2349
71,-1.3,524
72,-1.25,1100
73,-1.2,1008
74,-1.15,269
75,-1.1,4870
76,-1.05,317
77,-1.0,2038
78,-0.95,858
79,-0.9,1156
80,-0.85,10019
81,-0.8,790
82,-0.75,2183
83,-0.7,2953
84,-0.65,447
85,-0.6,9030
86,-0.55,485
87,-0.5,4154
88,-0.45,1432
89,-0.4,879
90,-0.35,5744
91,-0.3,914
92,-0.25,2467
93,-0.2,2843
94,-0.15,655
95,-0.1,24778
96,-0.0500000000000001,8
97,-0.05,1137
98,-0.0499999999999999,11
99,-5.55111512312578e-17,5
100,-2.77555756156289e-17,934
101,0.0,7424
102,2.77555756156289e-17,2
103,8.32667268468867e-17,9
104,1.11022302462516e-16,3
105,0.0499999999999999,6
106,0.05,1212
107,0.1,1046
108,0.15,4404
109,0.2,1093
110,0.25,2340
111,0.3,3548
112,0.35,383
113,0.4,7158
114,0.45,674
115,0.5,5300
116,0.55,958
117,0.6,1133
118,0.65,4001
119,0.7,2818
120,0.75,1526
121,0.8,1627
122,0.85,352
123,0.9,3442
124,0.95,586
125,1.0,1834
126,1.05,744
127,1.1,1088
128,1.15,1831
129,1.2,1057
130,1.25,1084
131,1.3,648
132,1.35,383
133,1.4,970
134,1.45,419
135,1.5,981
136,1.55,168
137,1.6,197
138,1.65,743
139,1.7,424
140,1.75,162
141,1.8,252
142,1.85,92
143,1.9,429
144,1.95,247
145,2.0,266
146,2.05,95
147,2.1,97
148,2.15,137
149,2.2,75
150,2.25,66
151,2.3,56
152,2.35,27
153,2.4,218
154,2.45,21
155,2.5,91
156,2.55,31
157,2.6,17
158,2.65,31
159,2.7,16
160,2.75,23
161,2.8,19
162,2.85,5
163,2.9,13
164,2.95,9
165,3.0,9
166,3.05,5
167,3.1,4
168,3.15,42
169,3.2,6
170,3.25,9
171,3.3,4
172,3.35,4
173,3.4,8
174,3.45,5
175,3.5,4
176,3.55,1
177,3.65,10
178,3.75,9
179,3.8,1
180,3.85,1
181,4.0,3
182,4.2,4
183,4.25,1
184,4.35,1
185,4.5,3
186,4.6,3
