,Keywords,Occurences
867, RT,2022
891, RT American,379
1442, RT this.-,317
1775, US Muslim-majority,763
1883, able judicial,201
2458, clear uncharted,257
2468, club,215
3140, federal,214
3739, illegal,347
6171, w,336
6438, so,1378
