,Keywords,Occurences
285, Canadian,204
374, EXCLUSIVE PRO-TRUMP,273
854, RT,2025
1029, RT authoritarian,359
1291, RT pathological conservative,1372
2505, curious imaginary foreign,351
5958, w,759
