,Keywords,Occurences
974, RT,2195
1018, RT American many,292
1033, RT Canadian dead,312
1293, RT extraordinary little,400
1669, RT wealthiest powerful,515
1754, Republican wrong,757
2815, crazy,413
3018, dishonest,219
3343, false,205
3702, good,212
3937, highest,223
6159, terrorist,711
6780, white,448
