,Keywords,Occurences
795, RT,1512
962, RT authoritarian,671
1201, RT pathological conservative,1294
1909, ballistic,412
2769, false illegal,237
2818, feminist,523
3108, great,276
3357, iconic Canadian freezing refugee,281
3384, illegal,302
4103, new,201
4110, new So-Called,426
4954, sick Wrong,270
5274, terrifying fascist,257
