,Sentiment,Counts
20,-4.0,9
21,-3.95,3
22,-3.9,9
23,-3.85,35
24,-3.75,14
25,-3.7,88
26,-3.65,44
27,-3.6,86
28,-3.55,26
29,-3.5,26
30,-3.45,33
31,-3.4,29
32,-3.35,261
33,-3.3,23
34,-3.25,104
35,-3.2,16
36,-3.15,26
37,-3.1,228
38,-3.05,26
39,-3.0,89
40,-2.95,54
41,-2.9,38
42,-2.85,2028
43,-2.8,29
44,-2.75,89
45,-2.7,511
46,-2.65,62
47,-2.6,528
48,-2.55,60
49,-2.5,277
50,-2.45,124
51,-2.4,131
52,-2.35,920
53,-2.3,186
54,-2.25,324
55,-2.2,394
56,-2.15,161
57,-2.1,1009
58,-2.05,87
59,-2.0,745
60,-1.95,539
61,-1.9,278
62,-1.85,1475
63,-1.8,256
64,-1.75,1010
65,-1.7,820
66,-1.65,426
67,-1.6,3327
68,-1.55,158
69,-1.5,1504
70,-1.45,1131
71,-1.4,968
72,-1.35,3631
73,-1.3,485
74,-1.25,1097
75,-1.2,1079
76,-1.15,444
77,-1.1,6256
78,-1.05,462
79,-1.0,2468
80,-0.95,577
81,-0.9,1754
82,-0.85,5742
83,-0.8,648
84,-0.75,2890
85,-0.7,2767
86,-0.65,413
87,-0.6,13102
88,-0.55,728
89,-0.5,6973
90,-0.45,1033
91,-0.4,1215
92,-0.35,4598
93,-0.3,1047
94,-0.25,2578
95,-0.2,1733
96,-0.15,631
97,-0.1,21716
98,-0.0999999999999999,1
99,-0.0500000000000001,14
100,-0.05,1209
101,-0.0499999999999999,8
102,-2.77555756156289e-17,1105
103,0.0,6091
104,2.77555756156289e-17,3
105,8.32667268468867e-17,51
106,0.0499999999999999,18
107,0.05,828
108,0.1,1043
109,0.15,4233
110,0.2,1225
111,0.25,1679
112,0.3,2852
113,0.35,617
114,0.4,8336
115,0.45,746
116,0.5,3126
117,0.55,777
118,0.6,1001
119,0.65,3234
120,0.7,2640
121,0.75,1007
122,0.8,1867
123,0.85,558
124,0.9,3119
125,0.95,742
126,1.0,1248
127,1.05,359
128,1.1,871
129,1.15,1056
130,1.2,655
131,1.25,1023
132,1.3,643
133,1.35,145
134,1.4,783
135,1.45,403
136,1.5,757
137,1.55,256
138,1.6,157
139,1.65,296
140,1.7,243
141,1.75,202
142,1.8,181
143,1.85,55
144,1.9,749
145,1.95,96
146,2.0,263
147,2.05,87
148,2.1,118
149,2.15,121
150,2.2,89
151,2.25,47
152,2.3,44
153,2.35,20
154,2.4,69
155,2.45,147
156,2.5,34
157,2.55,9
158,2.6,35
159,2.65,21
160,2.7,14
161,2.75,16
162,2.8,19
163,2.85,6
164,2.9,9
165,2.95,9
166,3.0,3
167,3.05,5
168,3.1,2
169,3.15,2
170,3.2,2
171,3.25,4
172,3.35,2
173,3.4,6
174,3.45,2
175,3.55,1
176,3.6,2
177,3.65,3
178,3.7,2
179,3.75,2
180,3.85,1
181,3.9,3
182,3.95,2
183,4.0,1
