,Keywords,Occurences
219, American,206
891, RT,2913
965, RT Many major financial rigged,280
1092, RT bipartisan full,216
1483, RT top shady,578
1613, Russian,330
2475, clear,360
2854, disciplinary,216
3324, free independent fears,1025
3357, full,255
3461, gon long final,238
3815, illegal,220
4627, national,270
4693, new,218
5446, ridiculous,245
5830, straight,1186
6020, third Russia-related serious,296
6022, third due,433
6324, unindicted,652
6483, vulnerable Russian,282
6585, whole,634
